"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' looks like a local network name, which is not an acceptable format."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' looks like an IP address, which is not an acceptable format."
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1."
"'Action Details - #' .","'Action Details - #' ."
"'Entity type model must be an instance of ' .","'Entity type model must be an instance of ' ."
"'Object is not instance of ' .","'Object is not instance of ' ."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
"'There is no defined type ' .","'There is no defined type ' ."
"(Copy data from: %1)","(Copy data from: %1)"
"(Excl. Tax)","(Excl. Tax)"
"(Incl. Tax)","(Incl. Tax)"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"* Required Fields","* Required Fields"
",",","
", %1 failed to update",", %1 failed to update"
", %1 successfully updated",", %1 successfully updated"
", due to content reformatting. Also, some content may no longer be editable from within the Admin.",", due to content reformatting. Also, some content may no longer be editable from within the Admin."
",PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.",",PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you."
",This service provides a dynamic suite of reports with rich insights about your business.",",This service provides a dynamic suite of reports with rich insights about your business."
"-- No Theme --","-- No Theme --"
"-- Please Select --","-- Please Select --"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"-- Please Select a Category --","-- Please Select a Category --"
"-- Please select --","-- Please select --"
"-- Select --","-- Select --"
"--Please Select--","--Please Select--"
".","."
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
". ':'",". ':'"
"1 Hour","1 Hour"
"1 column","1 column"
"1 item","1 item"
"10 by default. Max - 10000","10 by default. Max - 10000"
"12 Hours","12 Hours"
"123","123"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Hours"
"2 columns with left bar","2 columns with left bar"
"2 columns with right bar","2 columns with right bar"
"2-pixel perimeter around the header space.","2-pixel perimeter around the header space."
"24 Hours","24 Hours"
"24h","24h"
"255 by default. Max - 10000","255 by default. Max - 10000"
"2YTD","2YTD"
"3 columns","3 columns"
"3D Secure authentication","3D Secure authentication"
"6 Hours","6 Hours"
"< Back","< Back"
"<![CDATA[","<![CDATA["
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Learn more</a>."
"<br/>If not set","<br/>If not set"
"<br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.""","<br/>Widget will not show products that begin to match the specified conditions until cache is refreshed."""
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>"
"<p>Advanced Reporting in included,","<p>Advanced Reporting in included,"
"<p>By clicking on <b>Allow</b>, you agree that we may collect anonymous usage data from you to:</p> <ol class=""modal-list""> <li>Help us improve the Magento Admin user experience</li> <li>Provide interactive in-product guidance, such as technical support and tips to improve utilization of the product from within the Admin UI. This may include notifications of new features, product support/guidance, onboarding information, tooltips, and more.</li> </ol> <p>All usage data that we collect for this purpose cannot be used to individually identify you and is used only to improve the Magento Admin UI and related products and services.</p> <p>You can learn more and opt-out at any time by following the instructions in <a href=""https://experienceleague.adobe.com/docs/commerce-admin/config/advanced/admin.html"">merchant documentation</a>.</p>","<p>By clicking on <b>Allow</b>, you agree that we may collect anonymous usage data from you to:</p> <ol class=""modal-list""> <li>Help us improve the Magento Admin user experience</li> <li>Provide interactive in-product guidance, such as technical support and tips to improve utilization of the product from within the Admin UI. This may include notifications of new features, product support/guidance, onboarding information, tooltips, and more.</li> </ol> <p>All usage data that we collect for this purpose cannot be used to individually identify you and is used only to improve the Magento Admin UI and related products and services.</p> <p>You can learn more and opt-out at any time by following the instructions in <a href=""https://experienceleague.adobe.com/docs/commerce-admin/config/advanced/admin.html"">merchant documentation</a>.</p>"
"<pre> %1 </pre>","<pre> %1 </pre>"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Order Date:</span> %1"
"<span>Item %1</span> of %2","<span>Item %1</span> of %2"
"<strong class=""colorRed"">Warning!</strong> Enabling MAP by default will hide all product prices on Storefront.","<strong class=""colorRed"">Warning!</strong> Enabling MAP by default will hide all product prices on Storefront."
"<strong class=""colorRed"">Warning!</strong> Turning this option off will result in permanent removal of category/product URL rewrites without an ability to restore them.","<strong class=""colorRed"">Warning!</strong> Turning this option off will result in permanent removal of category/product URL rewrites without an ability to restore them."
"<strong class=""colorRed>Warning!</strong> Enabling this feature is not recommended on production environments because it represents a potential security risk.""","<strong class=""colorRed>Warning!</strong> Enabling this feature is not recommended on production environments because it represents a potential security risk."""
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third-party services (e.g. PayPal etc.).","<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third-party services (e.g. PayPal etc.)."
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong>: Captcha is case sensitive."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Get more insights from Magento Business Intelligence</strong>"
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"A class with the same name already exists for ClassType %1.","A class with the same name already exists for ClassType %1."
"A configuration with this path does not exist or is not sensitive","A configuration with this path does not exist or is not sensitive"
"A confirmation request has been sent.","A confirmation request has been sent."
"A consumer having the specified key does not exist","A consumer having the specified key does not exist"
"A consumer with ID %1 does not exist","A consumer with ID %1 does not exist"
"A consumer with the ID %1 does not exist","A consumer with the ID %1 does not exist"
"A creditmemo can not be created when an order has a status of %1","A creditmemo can not be created when an order has a status of %1"
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"A fully-integrated payment experience","A fully-integrated payment experience"
"A group with the same name already exists.","A group with the same name already exists."
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group."
"A hold action is not available.","A hold action is not available."
"A joined field with this alias is already declared.","A joined field with this alias is already declared."
"A joint field with this alias (%1) is already declared.","A joint field with this alias (%1) is already declared."
"A letter with further instructions will be sent to your email.","A letter with further instructions will be sent to your email."
"A login and a password are required.","A login and a password are required."
"A match of the Shipping Address City, State, and Postal Code failed.","A match of the Shipping Address City, State, and Postal Code failed."
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"A payer is not identified.","A payer is not identified."
"A payment method is not defined.","A payment method is not defined."
"A positive or negative non-decimal number please","A positive or negative non-decimal number please"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A shipment cannot be created when an order has a status of %1","A shipment cannot be created when an order has a status of %1"
"A shipping selection is not applicable.","A shipping selection is not applicable."
"A status change or comment text is required to submit a comment.","A status change or comment text is required to submit a comment."
"A successful payment transaction has already been completed. Please, check if the order has been placed.","A successful payment transaction has already been completed. Please, check if the order has been placed."
"A token with consumer ID %1 does not exist","A token with consumer ID %1 does not exist"
"A token with consumer ID 0 does not exist","A token with consumer ID 0 does not exist"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"A total of %1 record(s) have been marked as Read.","A total of %1 record(s) have been marked as Read."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"A total of %1 record(s) haven't been deleted. Please see server logs for more details.","A total of %1 record(s) haven't been deleted. Please see server logs for more details."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"A total of %1 synonym group(s) have been deleted.","A total of %1 synonym group(s) have been deleted."
"A user with the same user name or email already exists.","A user with the same user name or email already exists."
"A voided authorization cannot be captured or reauthorized.","A voided authorization cannot be captured or reauthorized."
"A wrong PayPal Express Checkout Token is specified.","A wrong PayPal Express Checkout Token is specified."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","ACH Deposit (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","ACH Withdrawal"
"ALL","ALL"
"ALL GROUPS","ALL GROUPS"
"AM","AM"
"ANY","ANY"
"API","API"
"API Authentication Methods","API Authentication Methods"
"API Certificate","API Certificate"
"API Key Validation Failed","API Key Validation Failed"
"API Password","API Password"
"API Signature","API Signature"
"API Username","API Username"
"API Uses Proxy","API Uses Proxy"
"API interfaces reflection data","API interfaces reflection data"
"AVS Street Does Not Match","AVS Street Does Not Match"
"AVS Street Match","AVS Street Match"
"AVS Zip Does Not Match","AVS Zip Does Not Match"
"AVS zip","AVS zip"
"Abandoned Cart","Abandoned Cart"
"Abandoned Carts","Abandoned Carts"
"Abandoned carts","Abandoned carts"
"Ability for buyer to purchase without PayPal account.","Ability for buyer to purchase without PayPal account."
"About Your Invoice","About Your Invoice"
"About Your Order","About Your Order"
"About Your Refund","About Your Refund"
"About Your Shipment","About Your Shipment"
"About the calendar","About the calendar"
"Accept Payment","Accept Payment"
"Accept debit/credit cards with Payment Services","Accept debit/credit cards with Payment Services"
"Accept or Deny Payment","Accept or Deny Payment"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)"
"Accept payments with a completely customizable checkout page.","Accept payments with a completely customizable checkout page."
"Accept popular payment methods—credit/debit cards, PayPal, Apple Pay, Google Pay, and Venmo—and deliver your customers a smooth checkout experience.","Accept popular payment methods—credit/debit cards, PayPal, Apple Pay, Google Pay, and Venmo—and deliver your customers a smooth checkout experience."
"Acceptance Mark","Acceptance Mark"
"Acceptance Mark Image","Acceptance Mark Image"
"Access Denied.","Access Denied."
"Access Token","Access Token"
"Access Token Expiration","Access Token Expiration"
"Access Token Secret","Access Token Secret"
"Access list","Access list"
"Access token has been revoked","Access token has been revoked"
"Account","Account"
"Account Activity","Account Activity"
"Account Created in","Account Created in"
"Account Created in:","Account Created in:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created:","Account Created:"
"Account Information","Account Information"
"Account Information Options","Account Information Options"
"Account Lock","Account Lock"
"Account Lock:","Account Lock:"
"Account Setting","Account Setting"
"Account Sharing Options","Account Sharing Options"
"Account Status","Account Status"
"Account already active","Account already active"
"Account-to-Account Payment, initiated by PayPal","Account-to-Account Payment, initiated by PayPal"
"Acknowledgements","Acknowledgements"
"Action","Action"
"Action Details - #","Action Details - #"
"Action Log","Action Log"
"Actions","Actions"
"Activate","Activate"
"Activate Now","Activate Now"
"Active","Active"
"Actual Price","Actual Price"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource"
"Add","Add"
"Add All to Cart","Add All to Cart"
"Add Attribute","Add Attribute"
"Add Attribute Set","Add Attribute Set"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Button","Add Button"
"Add CMS Block","Add CMS Block"
"Add Content","Add Content"
"Add Cross-Sell Products","Add Cross-Sell Products"
"Add Date","Add Date"
"Add Design Change","Add Design Change"
"Add Gift Options","Add Gift Options"
"Add Gift Options for Individual Items","Add Gift Options for Individual Items"
"Add Gift Options for the Entire Order","Add Gift Options for the Entire Order"
"Add Group","Add Group"
"Add Images into Sitemap","Add Images into Sitemap"
"Add Layout Update","Add Layout Update"
"Add Link","Add Link"
"Add Locale","Add Locale"
"Add Minimum Qty","Add Minimum Qty"
"Add New","Add New"
"Add New %1","Add New %1"
"Add New Address","Add New Address"
"Add New Attribute","Add New Attribute"
"Add New Attribute Set","Add New Attribute Set"
"Add New Block","Add New Block"
"Add New Class","Add New Class"
"Add New Condition","Add New Condition"
"Add New Customer","Add New Customer"
"Add New Customer Group","Add New Customer Group"
"Add New Group","Add New Group"
"Add New Image","Add New Image"
"Add New Images","Add New Images"
"Add New Integration","Add New Integration"
"Add New Link","Add New Link"
"Add New Option","Add New Option"
"Add New Page","Add New Page"
"Add New Rating","Add New Rating"
"Add New Role","Add New Role"
"Add New Row","Add New Row"
"Add New Rule","Add New Rule"
"Add New Search Term","Add New Search Term"
"Add New Source","Add New Source"
"Add New Stock","Add New Stock"
"Add New Tax Class","Add New Tax Class"
"Add New Tax Rate","Add New Tax Rate"
"Add New Tax Rule","Add New Tax Rule"
"Add New Template","Add New Template"
"Add New URL Rewrite","Add New URL Rewrite"
"Add New User","Add New User"
"Add New Variable","Add New Variable"
"Add Option","Add Option"
"Add Package","Add Package"
"Add PayPal as an additional payment method to your checkout page.","Add PayPal as an additional payment method to your checkout page."
"Add Price","Add Price"
"Add Product","Add Product"
"Add Product To Websites","Add Product To Websites"
"Add Products","Add Products"
"Add Products Manually","Add Products Manually"
"Add Products to Group","Add Products to Group"
"Add Products to New Option","Add Products to New Option"
"Add Products to Option","Add Products to Option"
"Add Products to Option ""%1""","Add Products to Option ""%1"""
"Add Products to Package","Add Products to Package"
"Add Related Products","Add Related Products"
"Add Root Category","Add Root Category"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Selected","Add Selected"
"Add Selected Product(s) to Order","Add Selected Product(s) to Order"
"Add Selected Product(s) to Package","Add Selected Product(s) to Package"
"Add Selected Products","Add Selected Products"
"Add Sitemap","Add Sitemap"
"Add Store Code to Urls","Add Store Code to Urls"
"Add Subcategory","Add Subcategory"
"Add Swatch","Add Swatch"
"Add Tax","Add Tax"
"Add To Cart","Add To Cart"
"Add To Compare","Add To Compare"
"Add To Order","Add To Order"
"Add Tracking Number","Add Tracking Number"
"Add URL Rewrite","Add URL Rewrite"
"Add URL Rewrite for CMS page","Add URL Rewrite for CMS page"
"Add URL Rewrite for a Category","Add URL Rewrite for a Category"
"Add URL Rewrite for a Product","Add URL Rewrite for a Product"
"Add Up-Sell Products","Add Up-Sell Products"
"Add Value","Add Value"
"Add Video","Add Video"
"Add Widget","Add Widget"
"Add Your Review","Add Your Review"
"Add \Exception","Add \Exception"
"Add after","Add after"
"Add another payment method to your existing solution or as a stand-alone option.","Add another payment method to your existing solution or as a stand-alone option."
"Add configurable attributes to the current Attribute Set","Add configurable attributes to the current Attribute Set"
"Add configurable attributes to the current Attribute Set (""%1"")","Add configurable attributes to the current Attribute Set (""%1"")"
"Add configurable attributes to the existing Attribute Set","Add configurable attributes to the existing Attribute Set"
"Add configurable attributes to the new Attribute Set based on current","Add configurable attributes to the new Attribute Set based on current"
"Add links to your product files here.","Add links to your product files here."
"Add product of type","Add product of type"
"Add product preview files here.","Add product preview files here."
"Add the following parameter to the URL to show template hints ?templatehints=[parameter_value]","Add the following parameter to the URL to show template hints ?templatehints=[parameter_value]"
"Add this attribute to the list of column options in the product grid.","Add this attribute to the list of column options in the product grid."
"Add this attribute to the list of filter options in the product grid.","Add this attribute to the list of filter options in the product grid."
"Add to Cart","Add to Cart"
"Add to Column Options","Add to Column Options"
"Add to Compare","Add to Compare"
"Add to Queue","Add to Queue"
"Add to Wish List","Add to Wish List"
"Add to Wishlist","Add to Wishlist"
"Add to address book","Add to address book"
"Add/Update","Add/Update"
"Add/Update Address","Add/Update Address"
"Add/Update Complex Data","Add/Update Complex Data"
"Added","Added"
"Adding link in both content and outer element is not allowed","Adding link in both content and outer element is not allowed"
"Adding...","Adding..."
"Additional Address Entries","Additional Address Entries"
"Additional Cache Management","Additional Cache Management"
"Additional Options","Additional Options"
"Additional Settings","Additional Settings"
"Additional data","Additional data"
"Additionally Show Order Total Without Tax","Additionally Show Order Total Without Tax"
"Address","Address"
"Address %1 <span>of %2</span>","Address %1 <span>of %2</span>"
"Address Book","Address Book"
"Address Data","Address Data"
"Address Information","Address Information"
"Address Templates","Address Templates"
"Address Verification System Response","Address Verification System Response"
"Addresses","Addresses"
"Adjust final price to discount value","Adjust final price to discount value"
"Adjust final price to this percentage","Adjust final price to this percentage"
"Adjustment Fee","Adjustment Fee"
"Adjustment Refund","Adjustment Refund"
"Admin","Admin"
"Admin 1column","Admin 1column"
"Admin 2 columns with left bar","Admin 2 columns with left bar"
"Admin Account Sharing","Admin Account Sharing"
"Admin Base URL","Admin Base URL"
"Admin Session Lifetime (seconds)","Admin Session Lifetime (seconds)"
"Admin Token Lifetime (hours)","Admin Token Lifetime (hours)"
"Admin User Emails","Admin User Emails"
