" Copy", " Копіювати"
"'%value%' looks like a DNS hostname but cannot extract TLD part.", "'%value%' схоже на DNS-ім’я хоста, але не вдалося визначити частину TLD."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.", "'%value%' схоже на DNS-ім’я хоста, але містить тире у неприпустимій позиції."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.", "'%value%' схоже на DNS-ім’я хоста, але воно не відповідає схемі імен для TLD '%tld%'."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.", "'%value%' схоже на DNS-ім’я хоста, але TLD відсутній у списку відомих."
"'%value%' looks like a local network name, which is not an acceptable format.", "'%value%' схоже на назву локальної мережі, що не є прийнятним форматом."
"'%value%' looks like an IP address, which is not an acceptable format.", "'%value%' схоже на IP-адресу, що не є прийнятним форматом."
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.", "'*' — відповідає будь-чому; 'xyz*' — відповідає будь-чому, що починається на 'xyz' і не довше %1."
"'Action Details - #' .", "'Деталі дії - #' ."
"'Entity type model must be an instance of ' .", "'Модель типу сутності має бути екземпляром ' ."
"'Object is not instance of ' .", "'Об’єкт не є екземпляром ' ."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""", "'XML у файлі ""%1"" недійсний:' . ""\n%2\nПеревірте XML і спробуйте ще раз."""
"'There is no defined type ' .", "'Тип не визначено ' ."
"(Copy data from: %1)", "(Копіювати дані з: %1)"
"(Excl. Tax)", "(Без ПДВ)"
"(Incl. Tax)", "(З ПДВ)"
"* - Enter custom price excluding tax", "* - Введіть власну ціну без ПДВ"
"* - Enter custom price including tax", "* - Введіть власну ціну з ПДВ"
"* Required Fields", "* Обов’язкові поля"
", %1 failed to update", ", %1 не вдалося оновити"
", %1 successfully updated", ", %1 успішно оновлено"
", due to content reformatting. Also, some content may no longer be editable from within the Admin.", ", через переформатування вмісту. Деякий контент може більше не редагуватися з адмінки."
",PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.", ",PayPal Express Checkout дозволяє надавати клієнтам фінансування через PayPal Credit&#174; без додаткових витрат для вас."
",This service provides a dynamic suite of reports with rich insights about your business.", ",Цей сервіс надає динамічний набір звітів із цінними аналітичними даними про ваш бізнес."
"-- No Theme --", "-- Без теми --"
"-- Please Select --", "-- Виберіть --"
"-- Please Select Billing Agreement--", "-- Виберіть платіжну угоду--"
"-- Please Select a Category --", "-- Виберіть категорію --"
"-- Please select --", "-- Виберіть --"
"-- Select --", "-- Вибрати --"
"--Please Select--", "--Виберіть--"
". "" which is inconsistent with state of scope resolver""", ". "" що не відповідає стану резолвера області видимості"""
"1 Hour", "1 година"
"1 column", "1 колонка"
"1 item", "1 товар"
"10 by default. Max - 10000", "10 за замовчуванням. Максимум — 10000"
"12 Hours", "12 годин"
"123", "123"
"12h AM/PM", "12 год AM/PM"
"2 Hours", "2 години"
"2 columns with left bar", "2 колонки з лівою панеллю"
"2 columns with right bar", "2 колонки з правою панеллю"
"2-pixel perimeter around the header space.", "2-піксельна рамка навколо області заголовка."
"24 Hours", "24 години"
"24h", "24 год"
"255 by default. Max - 10000", "255 за замовчуванням. Максимум — 10000"
"2YTD", "2YTD"
"3 columns", "3 колонки"
"3D Secure authentication", "3D Secure автентифікація"
"6 Hours", "6 годин"
"< Back", "< Назад"
"<![CDATA[", "<![CDATA["
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>", "<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Дізнатися більше</a>."
"<br/>If not set","<br/>Якщо не встановлено"
"<br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.""","<br/>Віджет не показуватиме товари, які почнуть відповідати вказаним умовам, доки кеш не буде оновлено."
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Помилка 404</h1><p>Сторінку не знайдено.</p>"
"<p>Advanced Reporting in included,","<p>Розширена звітність увімкнена,"
"<p>By clicking on <b>Allow</b>, you agree that we may collect anonymous usage data from you to:</p> <ol class=""modal-list""> <li>Help us improve the Magento Admin user experience</li> <li>Provide interactive in-product guidance, such as technical support and tips to improve utilization of the product from within the Admin UI. This may include notifications of new features, product support/guidance, onboarding information, tooltips, and more.</li> </ol> <p>All usage data that we collect for this purpose cannot be used to individually identify you and is used only to improve the Magento Admin UI and related products and services.</p> <p>You can learn more and opt-out at any time by following the instructions in <a href=""https://experienceleague.adobe.com/docs/commerce-admin/config/advanced/admin.html"">merchant documentation</a>.</p>","<p>Натискаючи <b>Дозволити</b>, ви погоджуєтеся, що ми можемо збирати анонімні дані про використання для таких цілей:</p> <ol class=""modal-list""> <li>Покращення користувацького досвіду в Magento Admin</li> <li>Надання інтерактивних підказок у продукті, таких як технічна підтримка чи поради з ефективнішого використання інтерфейсу Admin. Це може включати сповіщення про нові функції, поради, інформацію для початку роботи тощо.</li> </ol> <p>Усі зібрані дані є анонімними, не використовуються для особистої ідентифікації й потрібні лише для покращення інтерфейсу Magento Admin та суміжних сервісів.</p> <p>Ви можете дізнатися більше або відмовитися від участі в будь-який час, дотримуючись інструкцій у <a href=""https://experienceleague.adobe.com/docs/commerce-admin/config/advanced/admin.html"">документації для продавців</a>.</p>"
"<pre> %1 </pre>","<pre> %1 </pre>"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Дата замовлення:</span> %1"
"<span>Item %1</span> of %2","<span>Позиція %1</span> із %2"
"<strong class=""colorRed"">Warning!</strong> Enabling MAP by default will hide all product prices on Storefront.","<strong class=""colorRed"">Попередження!</strong> Увімкнення MAP за замовчуванням приховає всі ціни товарів на вітрині."
"<strong class=""colorRed"">Warning!</strong> Turning this option off will result in permanent removal of category/product URL rewrites without an ability to restore them.","<strong class=""colorRed"">Попередження!</strong> Вимкнення цієї опції призведе до безповоротного видалення перезаписів URL категорій або товарів."
"<strong class=""colorRed"">Warning!</strong> Enabling this feature is not recommended on production environments because it represents a potential security risk.","<strong class=""colorRed"">Попередження!</strong> Не рекомендується вмикати цю функцію в робочому середовищі, оскільки це може створити потенційну загрозу безпеці."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third-party services (e.g. PayPal etc.).","<strong style=""color:red"">Попередження!</strong> Якщо у URL-адресах використовується код магазину, система може працювати некоректно, якщо сторонні сервіси (наприклад, PayPal) вказують URL без коду магазину."
"<strong>%1 item</strong> were found using the following search criteria","<strong>Знайдено %1 позицію</strong> за такими критеріями пошуку"
"<strong>%1 items</strong> were found using the following search criteria","<strong>Знайдено %1 позиції</strong> за такими критеріями пошуку"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Увага</strong>: Captcha чутлива до регістру символів."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Отримайте більше аналітики від Magento Business Intelligence</strong>"
"A PDF object is not specified.","Об’єкт PDF не вказано."
"A PDF page object is not specified.","Об’єкт сторінки PDF не вказано."
"A block identifier with the same properties already exists in the selected store.","Ідентифікатор блоку з такими властивостями вже існує в обраному магазині."
"A case that has been resolved and close requires a reimbursement.","Для вирішеної та закритої справи потрібне відшкодування."
"A class with the same name already exists for ClassType %1.","Клас із такою назвою вже існує для ClassType %1."
"A configuration with this path does not exist or is not sensitive","Конфігурація з таким шляхом не існує або не є конфіденційною."
"A confirmation request has been sent.","Запит на підтвердження надіслано."
"A consumer having the specified key does not exist","Споживача із зазначеним ключем не існує."
"A consumer with ID %1 does not exist","Споживача з ID %1 не існує."
"A consumer with the ID %1 does not exist","Споживача з ID %1 не існує."
"A creditmemo can not be created when an order has a status of %1","Кредитний меморандум не можна створити, якщо замовлення має статус %1."
"A customer website ID must be specified when using the website scope.","Необхідно вказати ID вебсайту клієнта при використанні області дії вебсайту."
"A customer with the same email already exists in an associated website.","Клієнт із такою самою електронною адресою вже існує на пов’язаному вебсайті."
"A fully-integrated payment experience","Повністю інтегрований процес оплати."
"A group with the same name already exists.","Група з такою назвою вже існує."
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Групований товар складається з кількох окремих товарів, які представлені як група. Ви можете пропонувати варіації одного товару або об’єднувати товари за сезоном чи темою, щоб створити узгоджений набір. Кожен товар можна придбати окремо або як частину групи."
"A hold action is not available.","Дія утримання недоступна."
"A joined field with this alias is already declared.","Поле з таким псевдонімом уже оголошено."
"A joint field with this alias (%1) is already declared.","Поле з таким псевдонімом (%1) уже оголошено."
"A letter with further instructions will be sent to your email.","Лист із подальшими інструкціями буде надіслано на вашу електронну пошту."
"A login and a password are required.","Потрібно ввести логін і пароль."
"A match of the Shipping Address City, State, and Postal Code failed.","Не знайдено збіг за містом, штатом або поштовим індексом адреси доставки."
"A new admin account was created for %first_name, %last_name using %email.","Новий обліковий запис адміністратора створено для %first_name %last_name з використанням %email."
"A payer is not identified.","Платника не ідентифіковано."
"A payment method is not defined.","Не вказано спосіб оплати."
"A positive or negative non-decimal number please","Будь ласка, введіть ціле число (додатне або від’ємне)."
"A product type is not defined for the indexer.","Тип товару не визначено для індексатора."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","По цій транзакції відбувся реверс через суперечку клієнта, який підозрює несанкціоновану операцію."
"A reversal has occurred on this transaction because you have given the customer a refund.","По цій транзакції відбувся реверс, оскільки ви здійснили повернення клієнту."
"A reversal has occurred on this transaction due to a chargeback by your customer.","По цій транзакції відбувся реверс через чарджбек клієнта."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","По цій транзакції відбувся реверс через скаргу клієнта на транзакцію."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","По цій транзакції відбувся реверс через активацію клієнтом гарантії повернення коштів."
"A shipment cannot be created when an order has a status of %1","Неможливо створити відправлення, якщо замовлення має статус %1."
"A shipping selection is not applicable.","Вибір способу доставки недоступний."
"A status change or comment text is required to submit a comment.","Для надсилання коментаря потрібно змінити статус або ввести текст коментаря."
"A successful payment transaction has already been completed. Please, check if the order has been placed.","Успішна платіжна транзакція вже виконана. Будь ласка, перевірте, чи було оформлено замовлення."
"A token with consumer ID %1 does not exist","Токен зі споживачем ID %1 не існує."
"A token with consumer ID 0 does not exist","Токен зі споживачем ID 0 не існує."
"A total of %1 record(s) have been deleted.","Видалено записів: %1."
"A total of %1 record(s) have been disabled.","Вимкнено записів: %1."
"A total of %1 record(s) have been enabled.","Увімкнено записів: %1."
"A total of %1 record(s) have been marked as Read.","Позначено як прочитані записів: %1."
"A total of %1 record(s) have been updated.","Оновлено записів: %1."
"A total of %1 record(s) haven't been deleted. Please see server logs for more details.","Не видалено записів: %1. Перевірте логи сервера для деталей."
"A total of %1 record(s) were deleted.","Видалено записів: %1."
"A total of %1 record(s) were updated.","Оновлено записів: %1."
"A total of %1 synonym group(s) have been deleted.","Видалено груп синонімів: %1."
"A user with the same user name or email already exists.","Користувач із таким іменем або електронною адресою вже існує."
"A voided authorization cannot be captured or reauthorized.","Скасовану авторизацію неможливо провести або повторно авторизувати."
"A wrong PayPal Express Checkout Token is specified.","Вказано неправильний токен PayPal Express Checkout."
"ACH Deposit (Hold for Dispute or Other Investigation)","Депозит ACH (утримується через суперечку або інше розслідування)"
"ACH Deposit (Reversal)","Депозит ACH (реверс)"
"ACH Funding for Funds Recovery from Account Balance","ACH-фінансування для повернення коштів із залишку рахунку"
"ACH Withdrawal","Зняття ACH"
"ALL","УСІ"
"ALL GROUPS","УСІ ГРУПИ"
"AM","AM"
"ANY","БУДЬ-ЯКИЙ"
"API","API"
"API Authentication Methods","Методи автентифікації API"
"API Certificate","Сертифікат API"
"API Key Validation Failed","Не вдалося перевірити ключ API"
"API Password","Пароль API"
"API Signature","Підпис API"
"API Username","Ім’я користувача API"
"API Uses Proxy","API використовує проксі"
"API interfaces reflection data","Дані відображення інтерфейсів API"
"AVS Street Does Not Match","AVS: вулиця не збігається"
"AVS Street Match","AVS: вулиця збігається"
"AVS Zip Does Not Match","AVS: поштовий індекс не збігається"
"AVS zip","AVS поштовий індекс"
"Abandoned Cart","Покинутий кошик"
"Abandoned Carts","Покинуті кошики"
"Abandoned carts","Покинуті кошики"
"Ability for buyer to purchase without PayPal account.","Можливість покупки без облікового запису PayPal."
"About Your Invoice","Про ваш рахунок-фактуру"
"About Your Order","Про ваше замовлення"
"About Your Refund","Про ваше повернення коштів"
"About Your Shipment","Про вашу доставку"
"About the calendar","Про календар"
"Accept Payment","Прийняти платіж"
"Accept debit/credit cards with Payment Services","Приймайте дебетові й кредитні картки через Платіжні сервіси"
"Accept or Deny Payment","Прийняти або відхилити платіж"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Приймайте платежі через оформлення замовлення, що відповідає PCI та утримує клієнтів на сайті (<u>включає Експрес-оформлення</u>)."
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Приймайте платежі через оформлення замовлення, що відповідає PCI та утримує клієнтів на сайті (<u>включає Експрес-оформлення</u>)."
"Accept payments with a completely customizable checkout page.","Приймайте платежі через повністю налаштовувану сторінку оформлення замовлення."
"Accept popular payment methods—credit/debit cards, PayPal, Apple Pay, Google Pay, and Venmo—and deliver your customers a smooth checkout experience.","Приймайте популярні способи оплати — кредитні/дебетові картки, PayPal, Apple Pay, Google Pay та Venmo — і забезпечуйте своїм клієнтам зручний процес оформлення замовлення."
"Acceptance Mark","Знак прийняття платежів"
"Acceptance Mark Image","Зображення знака прийняття платежів"
"Access Denied.","Доступ заборонено."
"Access Token","Токен доступу"
"Access Token Expiration","Закінчення терміну дії токена доступу"
"Access Token Secret","Секрет токена доступу"
"Access list","Список доступу"
"Access token has been revoked","Токен доступу відкликано"
"Account","Обліковий запис"
"Account Activity","Активність облікового запису"
"Account Created in","Обліковий запис створено у"
"Account Created in:","Обліковий запис створено у:"
"Account Created on (%1):","Обліковий запис створено (%1):"
"Account Created:","Обліковий запис створено:"
"Account Information","Інформація про обліковий запис"
"Account Information Options","Параметри інформації облікового запису"
"Account Lock","Блокування облікового запису"
"Account Lock:","Блокування облікового запису:"
"Account Setting","Налаштування облікового запису"
"Account Sharing Options","Параметри спільного використання облікового запису"
"Account Status","Статус облікового запису"
"Account already active","Обліковий запис уже активний"
"Account-to-Account Payment, initiated by PayPal","Переказ між рахунками, ініційований PayPal"
"Acknowledgements","Подяки"
"Action","Дія"
"Action Details - #","Деталі дії - #"
"Action Log","Журнал дій"
"Actions","Дії"
"Activate","Активувати"
"Activate Now","Активувати зараз"
"Active","Активний"
"Actual Price","Фактична ціна"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Адаптер має бути об’єктом класу \Magento\ImportExport\Model\Import\AbstractSource"
"Add","Додати"
"Add All to Cart","Додати всі до кошика"
"Add Attribute","Додати атрибут"
"Add Attribute Set","Додати набір атрибутів"
"Add Block Names to Hints","Додати назви блоків до підказок"
"Add Button","Додати кнопку"
"Add CMS Block","Додати CMS-блок"
"Add Content","Додати вміст"
"Add Cross-Sell Products","Додати супутні товари"
"Add Date","Додати дату"
"Add Design Change","Додати зміну дизайну"
"Add Gift Options","Додати параметри подарунка"
"Add Gift Options for Individual Items","Додати параметри подарунка для окремих товарів"
"Add Gift Options for the Entire Order","Додати параметри подарунка для всього замовлення"
"Add Group","Додати групу"
"Add Images into Sitemap","Додати зображення до карти сайту"
"Add Layout Update","Додати оновлення макета"
"Add Link","Додати посилання"
"Add Locale","Додати локаль"
"Add Minimum Qty","Додати мінімальну кількість"
"Add New","Додати новий"
"Add New %1","Додати новий %1"
"Add New Address","Додати нову адресу"
"Add New Attribute","Додати новий атрибут"
"Add New Attribute Set","Додати новий набір атрибутів"
"Add New Block","Додати новий блок"
"Add New Class","Додати новий клас"
"Add New Condition","Додати нову умову"
"Add New Customer","Додати нового клієнта"
"Add New Customer Group","Додати нову групу клієнтів"
"Add New Group","Додати нову групу"
"Add New Image","Додати нове зображення"
"Add New Images","Додати нові зображення"
"Add New Integration","Додати нову інтеграцію"
"Add New Link","Додати нове посилання"
"Add New Option","Додати нову опцію"
"Add New Page","Додати нову сторінку"
"Add New Rating","Додати новий рейтинг"
"Add New Role","Додати нову роль"
"Add New Row","Додати новий рядок"
"Add New Rule","Додати нове правило"
"Add New Search Term","Додати новий пошуковий запит"
"Add New Source","Додати нове джерело"
"Add New Stock","Додати новий склад"
"Add New Tax Class","Додати новий клас податку"
"Add New Tax Rate","Додати нову податкову ставку"
"Add New Tax Rule","Додати нове податкове правило"
"Add New Template","Додати новий шаблон"
"Add New URL Rewrite","Додати новий перезапис URL"
"Add New User","Додати нового користувача"
"Add New Variable","Додати нову змінну"
"Add Option","Додати опцію"
"Add Package","Додати пакунок"
"Add PayPal as an additional payment method to your checkout page.","Додайте PayPal як додатковий спосіб оплати на сторінці оформлення замовлення."
"Add Price","Додати ціну"
"Add Product","Додати товар"
"Add Product To Websites","Додати товар на вебсайти"
"Add Products","Додати товари"
"Add Products Manually","Додати товари вручну"
"Add Products to Group","Додати товари до групи"
"Add Products to New Option","Додати товари до нової опції"
"Add Products to Option","Додати товари до опції"
"Add Products to Option ""%1""","Додати товари до опції ""%1"""
"Add Products to Package","Додати товари до пакунка"
"Add Related Products","Додати пов’язані товари"
"Add Root Category","Додати кореневу категорію"
"Add Secret Key to URLs","Додати секретний ключ до URL-адрес"
"Add Selected","Додати вибране"
"Add Selected Product(s) to Order","Додати вибрані товари до замовлення"
"Add Selected Product(s) to Package","Додати вибрані товари до пакування"
"Add Selected Products","Додати вибрані товари"
"Add Sitemap","Додати карту сайту"
